Date,Cash,Shares,Price,Portfolio
2025-01-02,31.22564697265625,173,577.8541870117188,100000.0
2025-01-03,31.22564697265625,173,585.0792846679688,101249.94189453125
2025-01-06,31.22564697265625,173,588.4497680664062,101833.03552246094
2025-01-07,31.22564697265625,173,581.7979125976562,100682.26452636719
2025-01-08,31.22564697265625,173,582.6478271484375,100829.29974365234
2025-01-10,31.22564697265625,173,573.7522583007812,99290.36633300781
2025-01-13,31.22564697265625,173,574.6419067382812,99444.27551269531
2025-01-14,31.22564697265625,173,575.4326171875,99581.06842041016
2025-01-15,31.22564697265625,173,585.8997802734375,101391.88763427734
2025-01-16,31.22564697265625,173,584.77294921875,101196.9458618164
2025-01-17,31.22564697265625,173,590.64404296875,102212.6450805664
2025-01-21,31.22564697265625,173,596.0504760742188,103147.9580078125
2025-01-22,31.22564697265625,173,599.4011840820312,103727.63049316406
2025-01-23,31.22564697265625,173,602.6727294921875,104293.6078491211
2025-01-24,31.22564697265625,173,600.913330078125,103989.23175048828
2025-01-27,31.22564697265625,173,592.4132080078125,102518.71063232422
2025-01-28,31.22564697265625,173,597.50341796875,103399.3169555664
2025-01-29,31.22564697265625,173,594.8248291015625,102935.92108154297
2025-01-30,31.22564697265625,173,598.0173950195312,103488.23498535156
2025-01-31,31.22564697265625,173,594.8347778320312,102937.64221191406
2025-02-03,31.22564697265625,173,590.831787109375,102245.12481689453
2025-02-04,31.22564697265625,173,594.7952270507812,102930.79992675781
2025-02-05,31.22564697265625,173,597.2068481445312,103348.01037597656
2025-02-06,31.22564697265625,173,599.282470703125,103707.09307861328
2025-02-07,31.22564697265625,173,593.7969970703125,102758.10614013672
2025-02-10,31.22564697265625,173,597.8295288085938,103455.73413085938
2025-02-11,31.22564697265625,173,598.2843017578125,103534.40985107422
2025-02-12,31.22564697265625,173,596.3568725585938,103200.96459960938
2025-02-13,31.22564697265625,173,602.6529541015625,104290.18670654297
2025-02-14,31.22564697265625,173,602.623291015625,104285.05499267578
2025-02-18,31.22564697265625,173,604.3925170898438,104591.13110351562
2025-02-19,31.22564697265625,173,605.8157348632812,104837.34777832031
2025-02-20,31.22564697265625,173,603.29541015625,104401.3316040039
2025-02-21,31.22564697265625,173,592.9765625,102616.17095947266
2025-02-24,31.22564697265625,173,590.2782592773438,102149.36450195312
2025-02-25,31.22564697265625,173,587.3427734375,101641.52545166016
2025-02-26,31.22564697265625,173,587.63916015625,101692.8003540039
2025-02-27,31.22564697265625,173,578.2593994140625,100070.10174560547
2025-02-28,31.22564697265625,173,587.283447265625,101631.26202392578
2025-03-03,31.22564697265625,173,576.9942626953125,99851.23309326172
2025-03-04,31.22564697265625,173,570.1644897460938,98669.68237304688
2025-03-05,31.22564697265625,173,576.29248046875,99729.8247680664
2025-03-06,31.22564697265625,173,566.0626220703125,97960.05926513672
2025-03-07,31.22564697265625,173,569.2353515625,98508.94146728516
2025-03-10,31.22564697265625,173,554.073486328125,95885.93878173828
2025-03-11,31.22564697265625,173,549.467529296875,95089.10821533203
2025-03-12,31.22564697265625,173,552.38330078125,95593.5366821289
2025-03-13,31.22564697265625,173,545.019775390625,94319.64678955078
2025-03-14,31.22564697265625,173,556.2774658203125,96267.22723388672
2025-03-17,31.22564697265625,173,560.5671997070312,97009.35119628906
2025-03-18,31.22564697265625,173,554.50830078125,95961.1616821289
2025-03-19,31.22564697265625,173,560.54736328125,97005.9194946289
2025-03-20,31.22564697265625,173,558.9264526367188,96725.501953125
2025-03-21,31.22564697265625,173,559.1107788085938,96757.39038085938
2025-03-24,31.22564697265625,173,569.1236572265625,98489.61834716797
2025-03-25,31.22564697265625,173,570.4917602539062,98726.30017089844
2025-03-26,31.22564697265625,173,563.6810913085938,97548.05444335938
2025-03-27,31.22564697265625,173,562.18408203125,97289.0718383789
2025-03-28,31.22564697265625,173,550.8626708984375,95330.46771240234
2025-03-31,31.22564697265625,173,554.5604248046875,95970.1791381836
2025-04-01,31.22564697265625,173,556.1268310546875,96241.1674194336
2025-04-02,31.22564697265625,173,559.6461791992188,96850.0146484375
2025-04-03,31.22564697265625,173,532.0663452148438,92078.70336914062
2025-04-04,31.22564697265625,173,500.9176330566406,86689.97616577148
2025-04-07,31.22564697265625,173,500.0254211425781,86535.62350463867
2025-04-08,31.22564697265625,173,492.193603515625,85180.71905517578
2025-04-09,31.22564697265625,173,543.8834838867188,94123.068359375
2025-04-10,31.22564697265625,173,520.051025390625,90000.05303955078
2025-04-11,31.22564697265625,173,529.3302001953125,91605.35028076172
2025-04-14,31.22564697265625,173,534.4654541015625,92493.74920654297
2025-04-15,31.22564697265625,173,532.9684448242188,92234.7666015625
2025-04-16,31.22564697265625,173,521.1216430664062,90185.26989746094
2025-04-17,31.22564697265625,173,521.8651733398438,90313.90063476562
2025-04-21,31.22564697265625,173,509.4433898925781,88164.93209838867
2025-04-22,31.22564697265625,173,522.6979370117188,90457.96875
2025-04-23,31.22564697265625,173,530.79736328125,91859.1694946289
2025-04-24,31.22564697265625,173,541.9700927734375,93792.05169677734
2025-04-25,31.22564697265625,173,545.8860473632812,94469.51184082031
2025-04-28,31.22564697265625,173,546.0941772460938,94505.51831054688
2025-04-29,31.22564697265625,173,549.5342407226562,95100.64929199219
2025-04-30,31.22564697265625,173,549.7523193359375,95138.37689208984
2025-05-01,31.22564697265625,173,553.6483764648438,95812.39477539062
2025-05-02,31.22564697265625,173,561.8668823242188,97234.1962890625
2025-05-05,31.22564697265625,173,558.6448974609375,96676.79290771484
2025-05-06,31.22564697265625,173,553.9755249023438,95868.99145507812
2025-05-07,31.22564697265625,173,556.3052978515625,96272.04217529297
2025-05-08,31.22564697265625,173,560.1814575195312,96942.61779785156
2025-05-09,31.22564697265625,173,559.4677734375,96819.15045166016
2025-05-12,31.22564697265625,173,577.9567260742188,100017.7392578125
2025-05-13,31.22564697265625,173,581.7734985351562,100678.04089355469
2025-05-14,31.22564697265625,173,582.5170288085938,100806.67163085938
2025-05-15,31.22564697265625,173,585.3622436523438,101298.89379882812
2025-05-16,31.22564697265625,173,589.0699462890625,101940.32635498047
2025-05-19,31.22564697265625,173,589.7142944335938,102051.79858398438
2025-05-20,31.22564697265625,173,587.7315673828125,101708.78680419922
2025-05-21,31.22564697265625,173,577.8277587890625,99995.42791748047
2025-05-22,31.22564697265625,173,578.0558471679688,100034.88720703125
2025-05-23,31.22564697265625,173,574.1102294921875,99352.2953491211
2025-05-27,31.22564697265625,173,586.0462646484375,101417.22943115234
2025-05-28,31.22564697265625,173,582.6558227539062,100830.68298339844
2025-05-29,31.22564697265625,173,584.9557495117188,101228.5703125
2025-05-30,31.22564697265625,173,584.301513671875,101115.38751220703
2025-06-02,31.22564697265625,173,587.5928955078125,101684.79656982422
2025-06-03,31.22564697265625,173,590.943603515625,102264.46905517578
2025-06-04,31.22564697265625,173,590.7849731445312,102237.02600097656
2025-06-05,31.22564697265625,173,587.9298095703125,101743.08270263672
2025-06-06,31.22564697265625,173,593.96728515625,102787.5659790039
2025-06-09,31.22564697265625,173,594.5026245117188,102880.1796875
2025-06-10,31.22564697265625,173,597.873291015625,103463.30499267578
2025-06-11,31.22564697265625,173,596.1680908203125,103168.30535888672
2025-06-12,31.22564697265625,173,598.5374755859375,103578.20892333984
2025-06-13,31.22564697265625,173,591.8458251953125,102420.55340576172
2025-06-16,31.22564697265625,173,597.4766845703125,103394.69207763672
2025-06-17,31.22564697265625,173,592.3712158203125,102511.44598388672
2025-06-18,31.22564697265625,173,592.2819213867188,102495.998046875
2025-06-20,31.22564697265625,173,590.8909912109375,102255.36712646484
2025-06-23,31.22564697265625,173,596.7274780273438,103265.07934570312
2025-06-24,31.22564697265625,173,603.3196411132812,104405.52355957031
2025-06-25,31.22564697265625,173,603.65771484375,104464.0103149414
2025-06-26,31.22564697265625,173,608.380615234375,105281.07208251953
2025-06-27,31.22564697265625,173,611.4032592773438,105803.98950195312
2025-06-30,31.22564697265625,173,614.3264770507812,106309.70617675781
2025-07-01,31.22564697265625,173,614.127685546875,106275.31524658203
2025-07-02,31.22564697265625,173,616.9117431640625,106756.95721435547
2025-07-03,31.22564697265625,173,621.7738647460938,107598.10424804688
2025-07-07,31.22564697265625,173,617.1403198242188,106796.5009765625
2025-07-08,31.22564697265625,173,616.8023681640625,106738.03533935547
2025-07-09,31.22564697265625,173,620.5010986328125,107377.91571044922
2025-07-10,31.22564697265625,173,622.2510375976562,107680.65515136719
2025-07-11,31.22564697265625,173,620.0636596679688,107302.23876953125
2025-07-14,31.22564697265625,173,621.246826171875,107506.92657470703
2025-07-15,31.22564697265625,173,618.592041015625,107047.64874267578
2025-07-16,31.22564697265625,173,620.66015625,107405.43267822266
2025-07-17,31.22564697265625,173,624.4583740234375,108062.52435302734
2025-07-18,31.22564697265625,173,624.0010375976562,107983.40515136719
2025-07-21,31.22564697265625,173,625.1842651367188,108188.103515625
2025-07-22,31.22564697265625,173,625.2737426757812,108203.58312988281
2025-07-23,31.22564697265625,173,630.5932006835938,109123.84936523438
2025-07-24,31.22564697265625,173,630.802001953125,109159.97198486328
2025-07-25,31.22564697265625,173,633.4667358398438,109620.97094726562
2025-07-28,31.22564697265625,173,633.3076782226562,109593.45397949219
2025-07-29,31.22564697265625,173,631.6372680664062,109304.47302246094
2025-07-30,31.22564697265625,173,630.841796875,109166.85650634766
2025-07-31,31.22564697265625,173,628.475341796875,108757.45977783203
2025-08-01,31.22564697265625,173,618.1743774414062,106975.39294433594
2025-08-04,31.22564697265625,173,627.570556640625,108600.93194580078
2025-08-05,31.22564697265625,173,624.3887939453125,108050.48699951172
2025-08-06,31.22564697265625,173,629.17138671875,108877.8755493164
2025-08-07,31.22564697265625,173,628.6444091796875,108786.7084350586
2025-08-08,31.22564697265625,173,633.5462646484375,109634.72943115234
2025-08-11,31.22564697265625,173,632.29345703125,109417.9937133789
2025-08-12,31.22564697265625,173,639.0248413085938,110582.52319335938
2025-08-13,31.22564697265625,173,641.2123413085938,110960.96069335938
2025-08-14,31.22564697265625,173,641.27197265625,110971.2769165039
2025-08-15,31.22564697265625,173,639.7705688476562,110711.53405761719
2025-08-18,31.22564697265625,173,639.6314086914062,110687.45935058594
2025-08-19,31.22564697265625,173,636.1612548828125,110087.12274169922
2025-08-20,31.22564697265625,173,634.470947265625,109794.69952392578
2025-08-21,31.22564697265625,173,631.9255981445312,109354.35412597656
2025-08-22,31.22564697265625,173,641.6299438476562,111033.20593261719
2025-08-25,31.22564697265625,173,638.8060913085938,110544.67944335938
2025-08-26,31.22564697265625,173,641.4807739257812,111007.39953613281
2025-08-27,31.22564697265625,173,642.9423828125,111260.25787353516
2025-08-28,31.22564697265625,173,645.2192993164062,111654.16442871094
2025-08-29,31.22564697265625,173,641.3713989257812,110988.47766113281
2025-09-02,31.22564697265625,173,636.6187133789062,110166.26306152344
2025-09-03,31.22564697265625,173,640.06884765625,110763.1362915039
2025-09-04,31.22564697265625,173,645.418212890625,111688.57647705078
2025-09-05,31.22564697265625,173,643.5488891601562,111365.18347167969
2025-09-08,31.22564697265625,173,645.1298828125,111638.69537353516
2025-09-09,31.22564697265625,173,646.6212768554688,111896.70654296875
2025-09-10,31.22564697265625,173,648.4905395507812,112220.08898925781
2025-09-11,31.22564697265625,173,653.8796997070312,113152.41369628906
2025-09-12,31.22564697265625,173,653.6608276367188,113114.548828125
2025-09-15,31.22564697265625,173,657.1409301757812,113716.60656738281
2025-09-16,31.22564697265625,173,656.2361450195312,113560.07873535156
2025-09-17,31.22564697265625,173,655.4208374023438,113419.03051757812
2025-09-18,31.22564697265625,173,658.4832153320312,113948.82189941406
2025-09-19,31.22564697265625,173,661.74462890625,114513.0464477539
2025-09-22,31.22564697265625,173,664.8753662109375,115054.66400146484
2025-09-23,31.22564697265625,173,661.256103515625,114428.53155517578
2025-09-24,31.22564697265625,173,659.1522216796875,114064.5599975586
2025-09-25,31.22564697265625,173,656.1112670898438,113538.47485351562
2025-09-26,31.22564697265625,173,659.8701782226562,114188.76647949219
2025-09-29,31.22564697265625,173,661.7246704101562,114509.59362792969
2025-09-30,31.22564697265625,173,664.21728515625,114940.8159790039
2025-10-01,31.22564697265625,173,666.4806518554688,115332.37841796875
2025-10-02,31.22564697265625,173,667.248291015625,115465.17999267578
2025-10-03,31.22564697265625,173,667.2384033203125,115463.46942138672
2025-10-06,31.22564697265625,173,669.6312866210938,115877.43823242188
2025-10-07,31.22564697265625,173,667.1486206054688,115447.93701171875
2025-10-08,31.22564697265625,173,671.1268920898438,116136.17797851562
2025-10-09,31.22564697265625,173,669.1826171875,115799.81842041016
2025-10-10,31.22564697265625,173,651.0960693359375,112670.84564208984
2025-10-13,31.22564697265625,173,661.0865478515625,114399.19842529297
2025-10-14,31.22564697265625,173,660.2789306640625,114259.48065185547
2025-10-15,31.22564697265625,173,663.2102661132812,114766.60168457031
2025-10-16,31.22564697265625,173,658.6936645507812,113985.22961425781
2025-10-17,31.22564697265625,173,662.4326171875,114632.06842041016
2025-10-20,31.22564697265625,173,669.3222045898438,115823.96704101562
2025-10-21,31.22564697265625,173,669.3121948242188,115822.2353515625
2025-10-22,31.22564697265625,173,665.83251953125,115220.2515258789
2025-10-23,31.22564697265625,173,669.7808837890625,115903.31854248047
2025-10-24,31.22564697265625,173,675.2546997070312,116850.28869628906
2025-10-27,31.22564697265625,173,683.2211303710938,118228.48120117188
2025-10-28,31.22564697265625,173,685.0357666015625,118542.41326904297
2025-10-29,31.22564697265625,173,685.3648071289062,118599.33728027344
2025-10-30,31.22564697265625,173,677.8270874023438,117295.31176757812
2025-10-31,31.22564697265625,173,680.050537109375,117679.96856689453
2025-11-03,31.22564697265625,173,681.3267822265625,117900.75897216797
2025-11-04,31.22564697265625,173,673.2506103515625,116503.58123779297
2025-11-05,31.22564697265625,173,675.583740234375,116907.21270751953
2025-11-06,31.22564697265625,173,668.3351440429688,115653.20556640625
2025-11-07,31.22564697265625,173,668.9931640625,115767.04302978516
2025-11-10,31.22564697265625,173,679.432373046875,117573.02618408203
2025-11-11,31.22564697265625,173,680.9877319335938,117842.10327148438
2025-11-12,31.22564697265625,173,681.3666381835938,117907.65405273438
2025-11-13,31.22564697265625,173,670.0599975585938,115951.60522460938
2025-11-14,31.22564697265625,173,669.9503784179688,115932.64111328125
2025-11-17,31.22564697265625,173,663.7088012695312,114852.84826660156
2025-11-18,31.22564697265625,173,658.1353149414062,113888.63513183594
2025-11-19,31.22564697265625,173,660.6777954101562,114328.48425292969
2025-11-20,31.22564697265625,173,650.6075439453125,112586.33074951172
2025-11-21,31.22564697265625,173,657.08837890625,113707.5151977539
2025-11-24,31.22564697265625,173,666.759765625,115380.66510009766
2025-11-25,31.22564697265625,173,673.03125,116465.63189697266
2025-11-26,31.22564697265625,173,677.6775512695312,117269.44201660156
2025-11-28,31.22564697265625,173,681.3765869140625,117909.37518310547
2025-12-01,31.22564697265625,173,678.2658081054688,117371.21044921875
2025-12-02,31.22564697265625,173,679.5220947265625,117588.54803466797
2025-12-03,31.22564697265625,173,681.8751220703125,117995.62176513672
2025-12-04,31.22564697265625,173,682.3736572265625,118081.86834716797
2025-12-05,31.22564697265625,173,683.6697998046875,118306.1010131836
2025-12-08,31.22564697265625,173,681.6159057617188,117950.77734375
2025-12-09,31.22564697265625,173,681.027587890625,117848.99835205078
2025-12-10,31.22564697265625,173,685.5443115234375,118630.39154052734
2025-12-11,31.22564697265625,173,687.1395263671875,118906.3637084961
2025-12-12,31.22564697265625,173,679.7514038085938,117628.21850585938
2025-12-15,31.22564697265625,173,678.7244262695312,117450.55139160156
2025-12-16,31.22564697265625,173,676.8699340820312,117129.72424316406
2025-12-17,31.22564697265625,173,669.4219360351562,115841.22058105469
2025-12-18,31.22564697265625,173,674.4769287109375,116715.73431396484
2025-12-19,31.22564697265625,173,680.5900268554688,117773.30029296875
2025-12-22,31.22564697265625,173,684.8300170898438,118506.81860351562
2025-12-23,31.22564697265625,173,687.9600219726562,119048.30944824219
2025-12-24,31.22564697265625,173,690.3800048828125,119466.96649169922
2025-12-26,31.22564697265625,173,690.3099975585938,119454.85522460938
2025-12-29,31.22564697265625,173,687.8499755859375,119029.27142333984
2025-12-30,31.22564697265625,173,687.010009765625,118883.95733642578
2025-12-31,31.22564697265625,173,681.9199829101562,118003.38269042969
2026-01-02,31.22564697265625,173,683.1699829101562,118219.63269042969
2026-01-05,31.22564697265625,173,687.719970703125,119006.78057861328
2026-01-06,31.22564697265625,173,691.8099975585938,119714.35522460938
2026-01-07,31.22564697265625,173,689.5800170898438,119328.56860351562
2026-01-08,31.22564697265625,173,689.510009765625,119316.45733642578
